date,ICU_Inflow,ICU_Inflow_SMA3d,ICU_Inflow_SMA7d,Hosp_Inflow,Hosp_Inflow_SMA3d,Hosp_Inflow_SMA7d,Tested,Tested_SMA3d,Tested_SMA7d,Cases,Cases_SMA3d,Cases_SMA7d,Cases_Pct,Cases_Pct_SMA3d,Cases_Pct_SMA7d,Prev,R,RNA,RNA_SMA3d,RNA_SMA7d,Vacc_Est,Vacc_Est_SMA3d,Vacc_Est_SMA7d,Vacc_Est_Carehomes,Vacc_Adm_GGD,Vacc_Adm_Hosp,Vacc_Adm_Doctors,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
2020-10-23,43.0,50.333333333333336,44.8571428571429,248.0,239.33333333333334,225.142857142857,47524.0,48443.333333333336,46758.0,8836.0,8671.0,8018.428571428572,18.5927110512583,17.905896452161134,17.105530264047914,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0
2020-10-24,52.0,50.333333333333336,46.2857142857143,284.0,256.6666666666667,234.857142857143,41062.0,45825.666666666664,46420.0,8612.0,8792.333333333334,8324.285714285714,20.9731625347036,19.276316196513765,17.973000894217343,156955.0,1.065,37934920558662.31,40228114746183.72,38882315619695.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0
2020-10-25,28.0,41.0,46.2857142857143,191.0,241.0,232.714285714286,37426.0,42004.0,46004.0,7512.0,8320.0,8444.714285714286,20.0716079730669,19.879160519676265,18.478603745855228,156807.5,1.03,52861546233847.31,49931193813394.65,36179853075250.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
2020-10-26,49.0,43.0,47.8571428571429,291.0,255.33333333333334,248.0,46917.0,41801.666666666664,45811.0,8577.0,8233.666666666666,8443.857142857143,18.2812200268559,19.7753301782088,18.54997818457013,156089.0,0.99,32292564993999.406,41029677262169.68,37557754476652.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0
2020-10-27,53.0,43.333333333333336,47.5714285714286,311.0,264.3333333333333,256.428571428571,47626.0,43989.666666666664,45480.0,8192.0,8093.666666666667,8415.142857142857,17.2006886994499,18.5178388997909,18.606338370079957,154694.5,0.955,49686328281242.766,44946813169696.49,41141464401203.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
2020-10-28,57.0,53.0,48.2857142857143,313.0,305.0,268.0,47734.0,47425.666666666664,45311.0,7396.0,8055.0,8293.42857142857,15.4941970084217,16.992035244909165,18.41095175676224,153440.5,0.9299999999999999,131224978605222.8,71067957293488.33,55249966050409.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
2020-10-29,47.0,52.333333333333336,47.0,269.0,297.6666666666667,272.428571428571,47551.0,47637.0,45120.0,7261.0,7616.333333333333,8055.142857142857,15.2699207167042,15.988268808191933,17.98335828720864,152468.5,0.91,21662284856718.246,67524530581061.27,54951391168195.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
2020-10-30,37.0,47.0,46.1428571428571,250.0,277.3333333333333,272.714285714286,44526.0,46603.666666666664,44692.0,6928.0,7195.0,7782.571428571428,15.5594484121637,15.441188712429868,17.550035053052273,151391.5,0.89,37217541263548.05,63368268241829.71,51840023541891.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0
2020-10-31,76.0,53.333333333333336,49.5714285714286,314.0,277.6666666666667,277.0,35389.0,42488.666666666664,43881.0,5878.0,6689.0,7392.0,16.6096809743141,15.813016701060667,16.9266805444252,149867.0,0.87,39694488646233.05,32858104922166.45,52091390411544.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0
2020-11-01,58.0,57.0,53.8571428571429,237.0,267.0,283.571428571429,29157.0,36357.333333333336,42700.0,5249.0,6018.333333333333,7068.714285714285,18.0025379840176,16.723889123498466,16.63109911741816,148280.5,0.85,75611433749404.83,50841154553061.98,55341374342338.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
2020-11-02,47.0,60.333333333333336,53.5714285714286,239.0,263.3333333333333,276.142857142857,45195.0,36580.333333333336,42454.0,7182.0,6103.0,6869.428571428572,15.8911384002655,16.834452452865733,16.2896588850481,146560.0,0.8300000000000001,35853719034043.27,50386547143227.055,55850110633773.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0
2020-11-03,59.0,54.666666666666664,54.4285714285714,364.0,280.0,283.714285714286,40685.0,38345.666666666664,41462.0,5938.0,6123.0,6547.428571428572,14.5950596042768,16.162911996186633,15.91742615716623,144920.0,0.8300000000000001,87577467703335.69,66347540162261.27,61263130551215.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
2020-11-04,50.0,52.0,53.4285714285714,236.0,279.6666666666667,272.714285714286,40037.0,41972.333333333336,40363.0,5675.0,6265.0,6301.571428571428,14.1743886904613,14.886862231667868,15.728882111743314,143444.5,0.8300000000000001,108608796892330.62,77346661209903.2,58032247449373.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
2020-11-05,35.0,48.0,51.7142857142857,261.0,287.0,271.571428571429,38547.0,39756.333333333336,39077.0,5163.0,5592.0,6001.857142857143,13.3940384465717,14.0544955804366,15.460898930295814,141211.0,0.845,51421376690241.53,82535880428635.95,62283546282733.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
2020-11-06,33.0,39.333333333333336,51.1428571428571,180.0,225.66666666666666,261.571428571429,34563.0,37715.666666666664,37653.0,4685.0,5174.333333333333,5681.428571428572,13.5549576136331,13.707794916888702,15.174543101934301,138898.5,0.86,32164849608550.266,64065007730374.15,61561733189162.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0
2020-11-07,37.0,35.0,45.5714285714286,248.0,229.66666666666666,252.142857142857,26145.0,33085.0,36333.0,3880.0,4576.0,5396.0,14.8403136354944,13.9297698985664,14.92177633924577,137440.5,0.865,73713472434899.2,52433232911230.336,66421588016115.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0
2020-11-08,36.0,35.333333333333336,42.4285714285714,149.0,192.33333333333334,239.571428571429,22263.0,27657.0,35348.0,3358.0,3974.3333333333335,5125.857142857143,15.0833221039393,14.492864451022266,14.504745499234588,135386.5,0.865,63785681772852.086,56554667938767.19,64732194876607.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
2020-11-09,40.0,37.666666666666664,41.4285714285714,177.0,191.33333333333334,230.714285714286,41080.0,29829.333333333332,34760.0,5185.0,4141.0,4840.571428571428,12.6217137293087,14.181783156247468,14.037684831955044,132805.0,0.87,27359256270300.496,54952803492683.93,63518700196072.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0
2020-11-10,39.0,38.333333333333336,38.5714285714286,258.0,194.66666666666666,215.571428571429,38978.0,34107.0,34516.0,5042.0,4528.333333333333,4712.571428571428,12.9355020780953,13.546845970447768,13.800605185357686,129857.0,0.895,26272105195250.227,39139014412800.94,54760791266346.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
2020-11-11,36.0,38.333333333333336,36.5714285714286,230.0,221.66666666666666,214.714285714286,36402.0,38820.0,33997.0,5022.0,5083.0,4619.285714285715,13.795945277732,13.117720361712001,13.746541840682072,127361.5,0.925,18809090411712.645,24146817292421.125,41932261769115.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
2020-11-12,31.0,35.333333333333336,36.0,220.0,236.0,208.857142857143,35187.0,36855.666666666664,33517.0,4685.0,4916.333333333333,4551.0,13.3145764060591,13.348674587295468,13.735190120608845,124686.0,0.96,36217985907723.1,27099727171561.99,39760348800184.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
2020-11-13,32.0,33.0,35.8571428571429,170.0,206.66666666666666,207.428571428571,32127.0,34572.0,33169.0,4564.0,4757.0,4533.714285714285,14.2061194633797,13.7722137157236,13.828213242001214,121882.0,0.99,44888374150767.47,33305150156734.406,41577995163357.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0
2020-11-14,32.0,31.666666666666668,35.1428571428571,163.0,184.33333333333334,195.285714285714,23751.0,30355.0,32827.0,3625.0,4291.333333333333,4497.285714285715,15.2625152625153,14.261070377318033,13.888527760147058,120508.0,1.005,55491471608606.72,45532610555699.09,38974852188173.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0
2020-11-15,22.0,28.666666666666668,33.1428571428571,150.0,161.0,195.428571428571,20522.0,25466.666666666668,32578.0,3362.0,3850.3333333333335,4497.857142857143,16.3824188675568,15.2836845311506,14.074113012092413,118781.0,1.0,78994354061238.9,59791399940204.37,41147519657942.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
2020-11-16,29.0,27.666666666666668,31.5714285714286,173.0,162.0,194.857142857143,40017.0,28096.666666666668,32426.0,5061.0,4016.0,4480.142857142857,12.6471249718869,14.764019700653,14.077743189603586,117089.5,0.99,40968848795165.92,58484891488337.19,43091747161495.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0
2020-11-17,38.0,29.666666666666668,31.4285714285714,256.0,193.0,194.571428571429,39287.0,33275.333333333336,32470.0,4849.0,4424.0,4452.571428571428,12.3425051543768,13.790682997940166,13.993029343358087,114947.5,0.985,30195187168283.93,50052796674896.25,43652187443356.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
2020-11-18,27.0,31.333333333333332,30.1428571428571,192.0,207.0,189.142857142857,42534.0,40612.666666666664,33346.0,4871.0,4927.0,4431.0,11.4520148587013,12.147214994988333,13.658182140639415,113364.0,0.985,30110535580890.68,33758190514780.176,45266679610382.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
2020-11-19,37.0,34.0,31.0,224.0,224.0,189.714285714286,41331.0,41050.666666666664,34224.0,4733.0,4817.666666666667,4437.857142857143,11.4514529045995,11.748657639225868,13.392021640430901,111374.0,1.0,35322441179058.89,31876054642744.5,45138744649144.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
2020-11-20,35.0,33.0,31.4285714285714,217.0,211.0,196.428571428571,37206.0,40357.0,34950.0,4490.0,4698.0,4427.285714285715,12.0679460302102,11.657137931170332,13.086568292835258,109999.0,1.005,89835392494324.06,51756123084757.88,51559747269652.734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0
2020-11-21,45.0,39.0,33.2857142857143,185.0,208.66666666666666,199.571428571429,28423.0,35653.333333333336,35617.0,3486.0,4236.333333333333,4407.428571428572,12.2647151954403,11.928038043416668,12.658311140395972,109761.5,0.995,78872470004430.78,68010101225937.91,54899889897627.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0
2020-11-22,26.0,35.333333333333336,33.8571428571429,170.0,190.66666666666666,202.428571428571,25174.0,30267.666666666668,36282.0,3057.0,3677.6666666666665,4363.857142857143,12.1434813696671,12.158714198439199,12.052748640697443,109226.5,0.96,86973116708858.44,85226993069204.42,56039713133001.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
2020-11-23,23.0,31.333333333333332,33.0,151.0,168.66666666666666,199.285714285714,44862.0,32819.666666666664,36974.0,4828.0,3790.3333333333335,4330.571428571428,10.7618920244305,11.723362863179299,11.78342964820367,108585.0,0.925,27464587994904.07,64436724902731.09,54110533018678.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0
2020-11-24,32.0,27.0,32.1428571428571,223.0,181.33333333333334,194.571428571429,43793.0,37943.0,37618.0,4539.0,4141.333333333333,4286.285714285715,10.3646701527641,11.090014515620567,11.50088179083043,106984.0,0.9199999999999999,25084079293049.96,46507261332270.82,53380374750788.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
2020-11-25,39.0,31.333333333333332,33.8571428571429,150.0,174.66666666666666,188.571428571429,41590.0,43415.0,37483.0,4470.0,4612.333333333333,4229.0,10.7477759076701,10.624779361621568,11.400276226397398,106472.0,0.935,15259499028943.877,22602722105632.64,51258798100510.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
